年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2017,礦業及土石採取業-基層技術工及勞力工,22440,96.35,22160,97.39,22805,95.07,—,—,—,—,—,—
2017,製造業,26782,98.23,22563,99.02,23508,98.13,25257,98.22,28155,98.23,33458,98.82
2017,製造業-專業人員,33753,99.01,—,—,—,—,—,—,31612,98.73,36728,98.99
2017,製造業-技術員及助理專業人員,27905,98.73,—,—,—,—,25996,98.27,27938,98.54,31732,99.1
2017,製造業-事務支援人員,25966,98.15,—,—,23579,98.47,24875,98.38,26684,98.5,30638,99.23
2017,製造業-服務及銷售工作人員,25708,98.81,23310,98.87,24273,98.29,25891,98.59,28043,99.13,—,—
2017,製造業-技藝_機械設備操作及組裝人員,24695,98.15,—,—,23631,97.67,24797,98.17,26226,98.56,—,—
2017,製造業-基層技術工及勞力工,22655,98.77,22351,99.07,22875,98.57,—,—,—,—,—,—
2017,電力及燃氣供應業,28685,97.15,24050,100,26271,94.94,27256,96.7,30015,96.98,33793,99.63
2017,電力及燃氣供應業-專業人員,34556,99.03,—,—,—,—,—,—,33824,98.18,35617,100
2017,電力及燃氣供應業-技術員及助理專業人員,29626,97.43,—,—,—,—,28006,98.21,29970,96.54,32658,98.06
2017,電力及燃氣供應業-事務支援人員,27375,98.91,—,—,25649,99.84,26049,99.38,28217,98.91,32791,100
2017,電力及燃氣供應業-服務及銷售工作人員,26803,97.96,23625,…,26287,97.54,27339,…,27837,…,—,—
2017,電力及燃氣供應業-技藝_機械設備操作及組裝人員,27715,92.89,—,—,27152,90.58,27837,93.29,28717,95.51,—,—
2017,電力及燃氣供應業-基層技術工及勞力工,24694,100,24156,100,25125,100,—,—,—,—,—,—
2017,用水供應及污染整治業,27459,97.42,23013,98.08,24767,96.69,27517,97.01,29834,98.5,33673,96.02
2017,用水供應及污染整治業-專業人員,34692,98.35,—,—,—,—,—,—,34107,98.76,36085,97.8
2017,用水供應及污染整治業-技術員及助理專業人員,31505,98.77,—,—,—,—,30475,99.86,31560,99.61,33588,95.7
2017,用水供應及污染整治業-事務支援人員,26058,96.01,—,—,24263,95.52,25646,96.46,26924,98.62,30986,94.88
2017,用水供應及污染整治業-服務及銷售工作人員,29637,100,27363,…,28483,100,30593,100,30593,100,—,—
2017,用水供應及污染整治業-技藝_機械設備操作及組裝人員,27049,97.7,—,—,26478,97,27223,97.7,27758,98.04,—,—
2017,用水供應及污染整治業-基層技術工及勞力工,23157,98.57,22775,97.87,23427,99.08,—,—,—,—,—,—
2017,營造業,27486,97.34,24112,99.48,24721,96.42,26134,95.96,28952,96.71,33210,98.7
2017,營造業-專業人員,33780,98.54,—,—,—,—,—,—,32785,97.86,35491,99.03
2017,營造業-技術員及助理專業人員,29470,98.78,—,—,—,—,27950,96.67,29138,99.4,33245,98.58
2017,營造業-事務支援人員,25195,97.49,—,—,23214,97.73,24520,98.02,26256,97.46,29948,99.81
2017,營造業-服務及銷售工作人員,27308,96.68,24667,…,26000,…,27500,…,30125,95.93,—,—
2017,營造業-技藝_機械設備操作及組裝人員,26807,99.49,—,—,26166,99.06,26835,99.41,28124,99.6,—,—
2017,營造業-基層技術工及勞力工,24328,99.46,24064,99.63,24559,99.47,—,—,—,—,—,—
2017,服務業部門,27363,98.56,23045,99.21,24050,98.18,25757,98.38,28715,98.65,33922,99.14
2017,服務業部門-專業人員,34353,99.15,—,—,—,—,—,—,32632,99.17,37014,99.36
2017,服務業部門-技術員及助理專業人員,29608,99.34,—,—,38315,…,27304,99.01,29504,99.33,33316,99.35
2017,服務業部門-事務支援人員,26297,98.15,—,—,23825,98.66,25073,98.6,26930,98.48,31028,99.23
2017,服務業部門-服務及銷售工作人員,24608,99.37,23602,99.67,23829,99.24,24621,99.37,25868,99.44,—,—
2017,服務業部門-技藝_機械設備操作及組裝人員,26895,98.41,—,—,25866,97.7,26835,98.22,28376,98.82,—,—
2017,服務業部門-基層技術工及勞力工,22892,98.84,22626,98.85,23088,98.85,—,—,—,—,—,—
2017,批發及零售業,26457,98.54,23376,99.02,23946,98.24,25151,98.3,27611,98.7,32910,99.05
2017,批發及零售業-專業人員,33609,99.09,—,—,—,—,—,—,31914,99.14,36853,99.34
2017,批發及零售業-技術員及助理專業人員,28250,99.76,—,—,—,—,26273,99.08,28528,99.66,31998,99.65
2017,批發及零售業-事務支援人員,25776,98.15,—,—,23802,98.17,24789,98.28,26449,98.94,29994,99.45
2017,批發及零售業-服務及銷售工作人員,24146,99.37,23586,99.59,23613,99.37,24096,99.5,24882,99.2,—,—
2017,批發及零售業-技藝_機械設備操作及組裝人員,25833,98.23,—,—,25043,97.57,25951,98.25,26706,98.58,—,—
2017,批發及零售業-基層技術工及勞力工,23463,98.79,23143,98.24,23648,99.05,—,—,—,—,—,—
2017,運輸及倉儲業,28328,97.87,24373,97.8,25757,96.09,27526,96.97,29808,97.71,33298,99.72
2017,運輸及倉儲業-專業人員,35855,99.82,—,—,—,—,—,—,34813,99.83,37229,99.74
2017,運輸及倉儲業-技術員及助理專業人員,31272,99.68,—,—,—,—,29692,99.25,30993,99.57,33649,100
2017,運輸及倉儲業-事務支援人員,26834,97.2,—,—,24369,98.16,25714,97.7,27685,96.83,31080,99.3
2017,運輸及倉儲業-服務及銷售工作人員,26605,98.78,24731,99.33,25027,98.67,26594,98.51,28628,98.82,—,—
2017,運輸及倉儲業-技藝_機械設備操作及組裝人員,29251,99.11,—,—,28193,97.63,29374,99.19,30618,99.58,—,—
2017,運輸及倉儲業-基層技術工及勞力工,24585,97.44,24239,97.14,24794,97.67,—,—,—,—,—,—
2017,住宿及餐飲業,25068,99.13,23285,99.45,23849,99.37,24958,99.01,26398,98.89,29272,100
2017,住宿及餐飲業-專業人員,30190,99.22,—,—,—,—,—,—,29565,98.89,31503,100
2017,住宿及餐飲業-技術員及助理專業人員,27807,98.28,—,—,—,—,27103,97.76,28009,97.85,28842,100
2017,住宿及餐飲業-事務支援人員,25226,98.95,—,—,24089,99.44,24816,98.91,25616,98.77,28043,100
2017,住宿及餐飲業-服務及銷售工作人員,24468,99.76,23639,99.64,23873,99.65,24506,99.75,25486,99.98,—,—
2017,住宿及餐飲業-技藝_機械設備操作及組裝人員,25344,97.94,—,—,24656,98.41,25072,98.19,26585,96.58,—,—
2017,住宿及餐飲業-基層技術工及勞力工,23032,99.51,22898,99.38,23146,99.66,—,—,—,—,—,—
2017,資訊及通訊傳播業,28918,98.58,22356,100,23826,99.05,26063,98.79,29198,98.74,33944,99.18
2017,資訊及通訊傳播業-專業人員,33646,99.03,—,—,—,—,—,—,31817,98.6,36545,99.62
2017,資訊及通訊傳播業-技術員及助理專業人員,29176,99.14,—,—,—,—,27241,99.19,28902,99.27,32354,98.93
2017,資訊及通訊傳播業-事務支援人員,26723,99.42,—,—,23812,99.61,25242,98.99,27156,99.75,30856,99.89
2017,資訊及通訊傳播業-服務及銷售工作人員,25734,99.42,22704,100,24275,98.51,25763,99.26,27296,100.33,—,—
2017,資訊及通訊傳播業-技藝_機械設備操作及組裝人員,26330,97.37,—,—,25872,97.44,26292,94.32,27200,100,—,—
2017,資訊及通訊傳播業-基層技術工及勞力工,21857,100,21835,100,21866,100,—,—,—,—,—,—
2017,金融及保險業,31690,99.3,24046,100,25643,97.77,27442,99.85,31597,99.34,36569,99.5
2017,金融及保險業-專業人員,35976,99.31,—,—,—,—,—,—,33646,99.47,38542,99.44
2017,金融及保險業-技術員及助理專業人員,32118,99.54,—,—,38315,…,27672,99.83,31688,99.7,35830,99.34
2017,金融及保險業-事務支援人員,30499,98.94,—,—,25498,97.91,27580,99.78,30771,98.61,35278,99.77
2017,金融及保險業-服務及銷售工作人員,26680,99.84,23970,100,24163,100,25939,100,28715,99.92,—,—
2017,金融及保險業-技藝_機械設備操作及組裝人員,28139,99.02,—,—,26507,95.76,27697,100,29875,100,—,—
2017,金融及保險業-基層技術工及勞力工,24377,100,24197,…,24646,…,—,—,—,—,—,—
2017,不動產業,27761,98.12,22102,97.76,24023,98.91,26191,97.34,28552,99.27,33078,98.32
2017,不動產業-專業人員,34237,100,—,—,—,—,—,—,33632,100,35196,100
2017,不動產業-技術員及助理專業人員,28713,97.63,—,—,—,—,26743,97.09,28643,98.94,33194,96.31
2017,不動產業-事務支援人員,26155,97.9,—,—,24327,98.41,26054,96.91,26212,99.68,30237,98.1
2017,不動產業-服務及銷售工作人員,25069,100,22199,…,24550,100,25658,100,25913,100,—,—
2017,不動產業-技藝_機械設備操作及組裝人員,24406,100,—,—,22965,100,24304,100,26695,100,—,—
2017,不動產業-基層技術工及勞力工,22252,95.6,22005,…,22500,…,—,—,—,—,—,—
2017,專業_科學及技術服務業,29345,97.86,23556,99.58,24148,98.72,25807,98.82,29648,98.26,35666,98.68
2017,專業_科學及技術服務業-專業人員,35538,98.8,—,—,—,—,—,—,33384,98.93,38415,99.07
2017,專業_科學及技術服務業-技術員及助理專業人員,29309,99.03,—,—,—,—,26451,98.14,29016,99.08,33829,99.08
2017,專業_科學及技術服務業-事務支援人員,26712,98.51,—,—,23885,99.87,25169,99.99,27035,98.85,32234,99.05
2017,專業_科學及技術服務業-服務及銷售工作人員,25697,99.02,24309,100,24737,100,25204,98.28,27649,98.32,—,—
2017,專業_科學及技術服務業-技藝_機械設備操作及組裝人員,26819,99.07,—,—,25342,95.59,26902,100,28595,100,—,—
2017,專業_科學及技術服務業-基層技術工及勞力工,22940,99.13,22635,99.02,23189,99.22,—,—,—,—,—,—
2017,支援服務業,25199,98.96,22458,99,23422,98.84,25011,98.99,26909,98.4,30728,99.32
2017,支援服務業-專業人員,31575,99.62,—,—,—,—,—,—,30424,99.1,34056,100
2017,支援服務業-技術員及助理專業人員,28300,99.08,—,—,—,—,26648,98.73,28696,98.81,31422,100
2017,支援服務業-事務支援人員,25107,98.45,—,—,23504,98.46,24573,98.77,25628,98.87,28841,99.04
2017,支援服務業-服務及銷售工作人員,24883,99.82,23798,99.67,24388,99.87,25033,99.98,26001,99.79,—,—
2017,支援服務業-技藝_機械設備操作及組裝人員,25289,98.81,—,—,24484,98.79,24676,99.75,27169,97.81,—,—
2017,支援服務業-基層技術工及勞力工,22013,98.74,21853,98.85,22145,98.66,—,—,—,—,—,—
2017,教育服務業,25383,97.8,22235,101.18,22776,100.06,23953,97.84,25784,97.59,29365,96.56
2017,教育服務業-專業人員,28189,96.66,—,—,—,—,—,—,27101,96.71,30658,96.81
2017,教育服務業-技術員及助理專業人員,27778,96.46,—,—,—,—,26417,…,27250,…,29667,…
2017,教育服務業-事務支援人員,24326,98.42,—,—,22431,99.79,23658,98.15,24471,98.97,27826,96.37
2017,教育服務業-服務及銷售工作人員,24803,98.4,23505,…,24003,…,24114,98.17,26668,97.53,—,—
2017,教育服務業-技藝_機械設備操作及組裝人員,24005,…,—,—,24005,…,—,—,—,—,—,—
2017,教育服務業-基層技術工及勞力工,22148,101.31,21389,…,22528,100.97,—,—,—,—,—,—
2017,醫療保健服務業,27733,98.98,22703,99.53,23705,99.32,26028,98.65,29893,99.14,34112,99.24
2017,醫療保健服務業-專業人員,36057,98.77,—,—,—,—,—,—,34733,98.76,38153,99.49
2017,醫療保健服務業-技術員及助理專業人員,30339,98.51,—,—,—,—,28252,98.4,30392,98.62,33588,99.36
2017,醫療保健服務業-事務支援人員,25488,98.94,—,—,23171,99.59,24437,99.26,26338,99.13,29225,99.34
2017,醫療保健服務業-服務及銷售工作人員,24624,99.82,23658,99.67,23976,99.61,24849,99.97,25901,99.88,—,—
2017,醫療保健服務業-技藝_機械設備操作及組裝人員,27314,98.72,—,—,26035,99.63,27119,98.29,29028,98.6,—,—
2017,醫療保健服務業-基層技術工及勞力工,22167,99.94,22024,99.87,22289,99.99,—,—,—,—,—,—
2017,藝術_娛樂及休閒服務業,25136,97.99,22851,99.94,23631,98.68,25004,98.19,26614,97.42,30160,98.01
2017,藝術_娛樂及休閒服務業-專業人員,30596,98.32,—,—,—,—,—,—,30071,98,31711,98.31
2017,藝術_娛樂及休閒服務業-技術員及助理專業人員,27288,99.42,—,—,—,—,26835,99.83,27460,98.89,28146,99.56
2017,藝術_娛樂及休閒服務業-事務支援人員,24602,97.67,—,—,23648,98.13,24244,99.35,24970,97.22,29657,96.13
2017,藝術_娛樂及休閒服務業-服務及銷售工作人員,24062,98.29,24053,99.19,23678,97.97,24056,97.61,24528,99.15,—,—
2017,藝術_娛樂及休閒服務業-技藝_機械設備操作及組裝人員,26269,99.38,—,—,25779,99.96,26445,98.23,26768,99.74,—,—
2017,藝術_娛樂及休閒服務業-基層技術工及勞力工,22621,99.82,22326,99.94,22851,99.66,—,—,—,—,—,—
2017,其他服務業,23848,97.61,21810,99.97,22685,98.01,24007,97.41,25517,96.57,29841,99.85
2017,其他服務業-專業人員,32250,100,—,—,—,—,—,—,32000,…,32500,…
2017,其他服務業-技術員及助理專業人員,27270,98.31,—,—,—,—,25785,97.84,27929,96.84,33500,…
2017,其他服務業-事務支援人員,24338,97.75,—,—,22541,98.23,23897,99.58,26007,96.23,28036,99.75
2017,其他服務業-服務及銷售工作人員,22272,98.82,21226,99.76,22138,99.56,22338,98.93,23058,96.9,—,—
2017,其他服務業-技藝_機械設備操作及組裝人員,24938,98.2,—,—,23638,98.03,25513,97.75,26880,99.49,—,—
2017,其他服務業-基層技術工及勞力工,22708,100,22564,100,22817,100,—,—,—,—,—,—
