"訂單時區","訂單時間.以訂單時區顯示.","UTC時間"
"Asia/Taipei","2016-03-31 10:33:25",1970-01-01 00:00:01
"America/New_York","2014-01-06 01:18:39",1970-01-01 00:00:01
"America/New_York","2017-09-14 08:59:07",1970-01-01 00:00:01
"America/New_York","2014-03-04 07:38:16",1970-01-01 00:00:01
"Asia/Taipei","2014-03-03 12:42:27",1970-01-01 00:00:01
"America/New_York","2017-03-27 07:05:23",1970-01-01 00:00:01
"Asia/Taipei","2016-05-11 08:14:33",1970-01-01 00:00:01
"Asia/Taipei","2016-11-25 08:33:12",1970-01-01 00:00:01
"Asia/Taipei","2015-05-04 09:06:55",1970-01-01 00:00:01
"America/New_York","2017-03-03 07:31:11",1970-01-01 00:00:01
"America/New_York","2016-03-08 07:12:08",1970-01-01 00:00:01
"America/New_York","2016-03-01 08:04:57",1970-01-01 00:00:01
"Asia/Taipei","2015-05-25 03:57:27",1970-01-01 00:00:01
"Asia/Taipei","2015-07-26 06:52:15",1970-01-01 00:00:01
"Asia/Taipei","2017-01-13 09:41:16",1970-01-01 00:00:01
"America/New_York","2014-11-17 02:57:43",1970-01-01 00:00:01
"America/New_York","2016-02-22 06:50:58",1970-01-01 00:00:01
"America/New_York","2017-07-27 07:52:18",1970-01-01 00:00:01
"America/New_York","2015-09-10 05:06:17",1970-01-01 00:00:01
"America/New_York","2015-09-15 03:55:36",1970-01-01 00:00:01
"America/New_York","2015-03-03 09:14:08",1970-01-01 00:00:01
"Asia/Taipei","2015-12-10 12:18:37",1970-01-01 00:00:01
"Asia/Taipei","2016-03-03 06:01:58",1970-01-01 00:00:01
"America/New_York","2016-03-14 08:12:56",1970-01-01 00:00:01
"Asia/Taipei","2015-01-10 08:02:26",1970-01-01 00:00:01
"America/New_York","2015-06-07 08:18:12",1970-01-01 00:00:01
"America/New_York","2017-05-23 09:52:20",1970-01-01 00:00:01
"Asia/Taipei","2016-07-29 07:37:11",1970-01-01 00:00:01
"Asia/Taipei","2017-01-23 07:50:10",1970-01-01 00:00:01
"America/New_York","2016-05-10 02:00:13",1970-01-01 00:00:01
"Asia/Taipei","2014-11-25 07:34:42",1970-01-01 00:00:01
"America/New_York","2015-11-10 12:10:54",1970-01-01 00:00:01
"America/New_York","2017-05-09 12:55:56",1970-01-01 00:00:01
"Asia/Taipei","2016-02-02 05:21:57",1970-01-01 00:00:01
"Asia/Taipei","2016-01-15 04:06:57",1970-01-01 00:00:01
"Asia/Taipei","2015-10-25 09:56:41",1970-01-01 00:00:01
"Asia/Taipei","2014-01-22 03:38:40",1970-01-01 00:00:01
"Asia/Taipei","2014-09-16 12:33:25",1970-01-01 00:00:01
"Asia/Taipei","2014-10-30 05:09:00",1970-01-01 00:00:01
"America/New_York","2016-07-11 04:14:33",1970-01-01 00:00:01
"Asia/Taipei","2015-01-17 05:04:51",1970-01-01 00:00:01
"Asia/Taipei","2015-12-25 03:25:05",1970-01-01 00:00:01
"America/New_York","2016-03-15 05:23:54",1970-01-01 00:00:01
"Asia/Taipei","2014-05-29 06:04:43",1970-01-01 00:00:01
"America/New_York","2016-04-25 02:14:16",1970-01-01 00:00:01
"America/New_York","2015-07-20 03:31:06",1970-01-01 00:00:01
"Asia/Taipei","2014-05-22 08:56:23",1970-01-01 00:00:01
"Asia/Taipei","2013-12-10 03:50:21",1970-01-01 00:00:01
"America/New_York","2016-11-15 00:45:20",1970-01-01 00:00:01
"Asia/Taipei","2013-11-26 11:03:30",1970-01-01 00:00:01
"America/New_York","2015-08-27 07:22:14",1970-01-01 00:00:01
"Asia/Taipei","2016-04-28 09:49:09",1970-01-01 00:00:01
"Asia/Taipei","2016-05-27 04:36:48",1970-01-01 00:00:01
"America/New_York","2014-07-08 05:55:03",1970-01-01 00:00:01
"Asia/Taipei","2015-12-30 09:23:04",1970-01-01 00:00:01
"America/New_York","2015-12-21 07:04:15",1970-01-01 00:00:01
"America/New_York","2014-11-21 07:51:25",1970-01-01 00:00:01
"Asia/Taipei","2014-01-09 08:35:00",1970-01-01 00:00:01
"America/New_York","2016-05-27 03:06:56",1970-01-01 00:00:01
"America/New_York","2015-06-26 02:31:19",1970-01-01 00:00:01
"Asia/Taipei","2016-07-07 01:26:33",1970-01-01 00:00:01
"Asia/Taipei","2015-10-01 05:02:02",1970-01-01 00:00:01
"Asia/Taipei","2014-12-11 08:39:39",1970-01-01 00:00:01
"America/New_York","2014-06-15 07:04:44",1970-01-01 00:00:01
"Asia/Taipei","2017-03-21 08:30:09",1970-01-01 00:00:01
"Asia/Taipei","2014-11-20 09:33:31",1970-01-01 00:00:01
"Asia/Taipei","2014-11-11 06:23:05",1970-01-01 00:00:01
"America/New_York","2014-05-27 01:56:50",1970-01-01 00:00:01
"America/New_York","2014-10-20 08:34:33",1970-01-01 00:00:01
"Asia/Taipei","2018-01-09 08:40:04",1970-01-01 00:00:01
"America/New_York","2017-05-24 09:41:55",1970-01-01 00:00:01
"Asia/Taipei","2017-09-25 08:25:46",1970-01-01 00:00:01
"Asia/Taipei","2014-09-15 08:59:50",1970-01-01 00:00:01
"Asia/Taipei","2017-02-23 04:01:16",1970-01-01 00:00:01
"America/New_York","2017-02-02 06:20:41",1970-01-01 00:00:01
"America/New_York","2015-04-22 07:06:20",1970-01-01 00:00:01
"Asia/Taipei","2014-10-23 02:51:41",1970-01-01 00:00:01
"America/New_York","2015-06-05 03:53:59",1970-01-01 00:00:01
"America/New_York","2014-03-31 10:07:34",1970-01-01 00:00:01
"Asia/Taipei","2015-01-27 07:36:52",1970-01-01 00:00:01
"America/New_York","2015-01-16 10:21:15",1970-01-01 00:00:01
"Asia/Taipei","2015-10-27 09:00:52",1970-01-01 00:00:01
"America/New_York","2016-09-02 05:14:47",1970-01-01 00:00:01
"Asia/Taipei","2016-06-23 03:46:20",1970-01-01 00:00:01
"Asia/Taipei","2015-04-29 13:09:56",1970-01-01 00:00:01
"Asia/Taipei","2016-01-14 03:08:15",1970-01-01 00:00:01
"America/New_York","2014-11-23 01:43:57",1970-01-01 00:00:01
"Asia/Taipei","2014-11-14 01:04:00",1970-01-01 00:00:01
"America/New_York","2016-06-24 06:59:38",1970-01-01 00:00:01
"America/New_York","2014-10-12 07:11:30",1970-01-01 00:00:01
"America/New_York","2015-03-26 03:24:11",1970-01-01 00:00:01
"Asia/Taipei","2016-11-15 08:06:54",1970-01-01 00:00:01
"America/New_York","2017-03-13 11:05:35",1970-01-01 00:00:01
"America/New_York","2015-11-16 06:42:21",1970-01-01 00:00:01
"America/New_York","2013-12-13 12:58:19",1970-01-01 00:00:01
"Asia/Taipei","2014-07-18 07:10:17",1970-01-01 00:00:01
"America/New_York","2016-08-17 06:22:22",1970-01-01 00:00:01
"Asia/Taipei","2016-09-20 08:18:28",1970-01-01 00:00:01
"Asia/Taipei","2014-09-26 08:36:53",1970-01-01 00:00:01
"America/New_York","2015-10-21 00:40:40",1970-01-01 00:00:01
"Asia/Taipei","2016-01-29 02:08:21",1970-01-01 00:00:01
"Asia/Taipei","2016-02-24 08:02:18",1970-01-01 00:00:01
"America/New_York","2015-09-18 07:04:58",1970-01-01 00:00:01
"America/New_York","2016-02-23 06:23:23",1970-01-01 00:00:01
"America/New_York","2014-06-09 09:58:18",1970-01-01 00:00:01
"America/New_York","2013-12-10 09:42:38",1970-01-01 00:00:01
"America/New_York","2015-09-15 07:19:26",1970-01-01 00:00:01
"Asia/Taipei","2014-11-21 08:04:57",1970-01-01 00:00:01
"America/New_York","2016-03-01 08:55:40",1970-01-01 00:00:01
"America/New_York","2014-06-16 04:06:26",1970-01-01 00:00:01
"Asia/Taipei","2014-03-17 00:44:09",1970-01-01 00:00:01
"America/New_York","2016-04-14 03:35:14",1970-01-01 00:00:01
"Asia/Taipei","2017-10-11 05:08:33",1970-01-01 00:00:01
"America/New_York","2013-11-14 08:46:47",1970-01-01 00:00:01
"America/New_York","2014-06-18 03:20:43",1970-01-01 00:00:01
"America/New_York","2015-10-29 04:21:59",1970-01-01 00:00:01
"America/New_York","2017-04-17 08:18:45",1970-01-01 00:00:01
"Asia/Taipei","2014-03-17 09:13:51",1970-01-01 00:00:01
"Asia/Taipei","2017-06-18 08:34:19",1970-01-01 00:00:01
"Asia/Taipei","2016-09-23 04:33:41",1970-01-01 00:00:01
"America/New_York","2015-01-06 05:00:33",1970-01-01 00:00:01
"America/New_York","2014-02-20 07:51:14",1970-01-01 00:00:01
"Asia/Taipei","2014-03-05 03:21:37",1970-01-01 00:00:01
"Asia/Taipei","2017-03-02 11:54:50",1970-01-01 00:00:01
"America/New_York","2015-09-17 08:37:34",1970-01-01 00:00:01
"America/New_York","2017-09-18 08:33:44",1970-01-01 00:00:01
"America/New_York","2015-10-21 13:29:18",1970-01-01 00:00:01
"Asia/Taipei","2016-05-31 00:18:26",1970-01-01 00:00:01
"America/New_York","2015-05-10 08:36:48",1970-01-01 00:00:01
"Asia/Taipei","2016-05-31 06:09:48",1970-01-01 00:00:01
"Asia/Taipei","2017-02-20 06:39:10",1970-01-01 00:00:01
"Asia/Taipei","2014-09-15 02:28:56",1970-01-01 00:00:01
"America/New_York","2015-12-17 09:23:33",1970-01-01 00:00:01
"America/New_York","2017-01-12 08:16:04",1970-01-01 00:00:01
"Asia/Taipei","2015-01-28 04:20:10",1970-01-01 00:00:01
"Asia/Taipei","2015-12-03 12:21:09",1970-01-01 00:00:01
"Asia/Taipei","2016-10-21 04:18:28",1970-01-01 00:00:01
"Asia/Taipei","2015-06-09 08:10:57",1970-01-01 00:00:01
"America/New_York","2018-03-06 04:48:00",1970-01-01 00:00:01
"America/New_York","2016-05-05 07:11:36",1970-01-01 00:00:01
"America/New_York","2017-07-11 00:36:29",1970-01-01 00:00:01
"Asia/Taipei","2014-11-04 12:07:16",1970-01-01 00:00:01
"America/New_York","2014-11-07 09:20:24",1970-01-01 00:00:01
"America/New_York","2016-05-02 02:20:56",1970-01-01 00:00:01
"Asia/Taipei","2014-05-20 10:17:42",1970-01-01 00:00:01
"America/New_York","2015-12-03 09:12:45",1970-01-01 00:00:01
"America/New_York","2014-09-12 07:06:15",1970-01-01 00:00:01
"Asia/Taipei","2015-11-09 01:26:51",1970-01-01 00:00:01
"Asia/Taipei","2016-05-05 08:43:19",1970-01-01 00:00:01
"America/New_York","2017-03-11 06:37:30",1970-01-01 00:00:01
"Asia/Taipei","2015-11-20 07:09:53",1970-01-01 00:00:01
"Asia/Taipei","2014-04-01 08:47:13",1970-01-01 00:00:01
"Asia/Taipei","2017-02-22 01:51:33",1970-01-01 00:00:01
"Asia/Taipei","2014-04-24 11:20:04",1970-01-01 00:00:01
"America/New_York","2016-11-18 09:35:04",1970-01-01 00:00:01
"America/New_York","2016-11-16 04:06:38",1970-01-01 00:00:01
"America/New_York","2016-08-31 05:13:06",1970-01-01 00:00:01
"Asia/Taipei","2016-02-25 05:44:17",1970-01-01 00:00:01
"Asia/Taipei","2016-12-22 02:18:52",1970-01-01 00:00:01
"Asia/Taipei","2017-01-07 08:07:42",1970-01-01 00:00:01
"Asia/Taipei","2016-10-24 05:15:04",1970-01-01 00:00:01
"Asia/Taipei","2017-04-18 12:13:25",1970-01-01 00:00:01
"America/New_York","2016-10-12 02:20:30",1970-01-01 00:00:01
"Asia/Taipei","2015-05-19 07:14:57",1970-01-01 00:00:01
"America/New_York","2015-12-01 11:12:33",1970-01-01 00:00:01
"Asia/Taipei","2017-03-07 04:59:13",1970-01-01 00:00:01
"Asia/Taipei","2015-10-12 05:48:38",1970-01-01 00:00:01
"America/New_York","2016-01-05 02:20:18",1970-01-01 00:00:01
"America/New_York","2013-11-26 05:59:02",1970-01-01 00:00:01
"Asia/Taipei","2014-01-17 09:31:11",1970-01-01 00:00:01
"Asia/Taipei","2016-07-03 06:54:57",1970-01-01 00:00:01
"Asia/Taipei","2015-07-03 05:40:43",1970-01-01 00:00:01
"America/New_York","2014-05-19 02:20:14",1970-01-01 00:00:01
"Asia/Taipei","2014-05-20 02:52:58",1970-01-01 00:00:01
"Asia/Taipei","2014-06-13 05:46:32",1970-01-01 00:00:01
"America/New_York","2017-12-21 05:21:52",1970-01-01 00:00:01
"Asia/Taipei","2016-07-26 08:01:11",1970-01-01 00:00:01
"Asia/Taipei","2015-10-05 04:14:07",1970-01-01 00:00:01
"America/New_York","2014-12-02 06:36:02",1970-01-01 00:00:01
"Asia/Taipei","2017-05-11 05:01:52",1970-01-01 00:00:01
"Asia/Taipei","2014-12-30 07:21:56",1970-01-01 00:00:01
"Asia/Taipei","2015-07-04 07:08:15",1970-01-01 00:00:01
"America/New_York","2013-12-26 04:21:34",1970-01-01 00:00:01
"America/New_York","2013-11-27 01:51:18",1970-01-01 00:00:01
"Asia/Taipei","2014-02-25 06:37:21",1970-01-01 00:00:01
"Asia/Taipei","2014-03-03 12:42:29",1970-01-01 00:00:01
"America/New_York","2015-05-19 01:30:21",1970-01-01 00:00:01
"America/New_York","2015-02-26 09:13:27",1970-01-01 00:00:01
"Asia/Taipei","2015-09-16 03:01:43",1970-01-01 00:00:01
"America/New_York","2014-03-27 04:42:32",1970-01-01 00:00:01
"Asia/Taipei","2017-05-23 08:45:43",1970-01-01 00:00:01
"Asia/Taipei","2014-04-23 05:08:10",1970-01-01 00:00:01
"America/New_York","2017-03-24 07:07:40",1970-01-01 00:00:01
"America/New_York","2014-12-22 10:15:21",1970-01-01 00:00:01
"America/New_York","2016-06-04 06:39:27",1970-01-01 00:00:01
"America/New_York","2014-09-18 01:46:07",1970-01-01 00:00:01
"America/New_York","2014-10-20 04:38:28",1970-01-01 00:00:01
"America/New_York","2014-04-08 09:23:40",1970-01-01 00:00:01
"America/New_York","2015-06-26 07:36:12",1970-01-01 00:00:01
"Asia/Taipei","2015-11-01 05:01:24",1970-01-01 00:00:01
"America/New_York","2014-03-31 05:01:24",1970-01-01 00:00:01
"Asia/Taipei","2014-10-28 06:54:58",1970-01-01 00:00:01
"America/New_York","2016-04-07 04:45:09",1970-01-01 00:00:01
"Asia/Taipei","2014-02-24 11:08:18",1970-01-01 00:00:01
"America/New_York","2015-05-27 11:45:31",1970-01-01 00:00:01
"America/New_York","2015-11-27 04:59:55",1970-01-01 00:00:01
"America/New_York","2016-08-24 07:34:08",1970-01-01 00:00:01
"Asia/Taipei","2013-12-20 09:58:48",1970-01-01 00:00:01
"America/New_York","2015-10-02 00:47:45",1970-01-01 00:00:01
"America/New_York","2016-10-18 09:40:05",1970-01-01 00:00:01
"Asia/Taipei","2016-01-07 09:03:51",1970-01-01 00:00:01
"America/New_York","2014-08-17 07:38:06",1970-01-01 00:00:01
"America/New_York","2014-06-10 07:20:33",1970-01-01 00:00:01
"America/New_York","2015-09-24 07:59:58",1970-01-01 00:00:01
"America/New_York","2015-03-16 10:13:53",1970-01-01 00:00:01
"Asia/Taipei","2015-03-03 06:58:54",1970-01-01 00:00:01
"America/New_York","2017-06-22 06:43:23",1970-01-01 00:00:01
"Asia/Taipei","2017-03-16 07:15:08",1970-01-01 00:00:01
"Asia/Taipei","2015-03-08 03:44:35",1970-01-01 00:00:01
"America/New_York","2016-05-31 09:14:05",1970-01-01 00:00:01
"America/New_York","2014-08-17 07:38:09",1970-01-01 00:00:01
"Asia/Taipei","2016-07-12 06:22:17",1970-01-01 00:00:01
"America/New_York","2013-12-02 12:51:40",1970-01-01 00:00:01
"America/New_York","2014-05-04 02:52:04",1970-01-01 00:00:01
"Asia/Taipei","2016-12-28 10:23:53",1970-01-01 00:00:01
"Asia/Taipei","2016-07-29 07:43:26",1970-01-01 00:00:01
"America/New_York","2016-04-02 07:07:08",1970-01-01 00:00:01
"America/New_York","2016-05-24 07:49:48",1970-01-01 00:00:01
"Asia/Taipei","2015-03-23 08:30:10",1970-01-01 00:00:01
"Asia/Taipei","2014-04-07 12:39:47",1970-01-01 00:00:01
"America/New_York","2015-06-26 07:12:47",1970-01-01 00:00:01
"America/New_York","2017-02-20 01:51:28",1970-01-01 00:00:01
"America/New_York","2015-07-03 05:30:57",1970-01-01 00:00:01
"America/New_York","2015-03-30 11:41:07",1970-01-01 00:00:01
"Asia/Taipei","2015-05-28 06:31:31",1970-01-01 00:00:01
"Asia/Taipei","2017-04-10 02:25:25",1970-01-01 00:00:01
"Asia/Taipei","2014-05-02 04:13:59",1970-01-01 00:00:01
"Asia/Taipei","2015-05-25 04:13:04",1970-01-01 00:00:01
"America/New_York","2014-10-01 03:17:06",1970-01-01 00:00:01
"Asia/Taipei","2015-04-14 08:19:54",1970-01-01 00:00:01
"America/New_York","2016-07-14 04:28:35",1970-01-01 00:00:01
"Asia/Taipei","2016-03-15 09:53:15",1970-01-01 00:00:01
"Asia/Taipei","2017-01-16 03:31:50",1970-01-01 00:00:01
"America/New_York","2013-12-26 09:23:24",1970-01-01 00:00:01
"Asia/Taipei","2016-02-22 09:46:47",1970-01-01 00:00:01
"America/New_York","2016-02-25 02:02:58",1970-01-01 00:00:01
"Asia/Taipei","2013-11-20 01:28:14",1970-01-01 00:00:01
"America/New_York","2014-06-19 11:30:56",1970-01-01 00:00:01
"Asia/Taipei","2015-03-27 02:17:13",1970-01-01 00:00:01
"Asia/Taipei","2016-10-23 06:13:17",1970-01-01 00:00:01
"America/New_York","2014-06-10 11:14:27",1970-01-01 00:00:01
"Asia/Taipei","2015-03-11 12:14:09",1970-01-01 00:00:01
"Asia/Taipei","2014-01-07 02:54:25",1970-01-01 00:00:01
"Asia/Taipei","2016-05-03 02:21:59",1970-01-01 00:00:01
"Asia/Taipei","2017-02-22 04:29:57",1970-01-01 00:00:01
"America/New_York","2014-03-07 07:18:06",1970-01-01 00:00:01
"America/New_York","2016-10-24 05:58:17",1970-01-01 00:00:01
"Asia/Taipei","2014-02-18 04:56:02",1970-01-01 00:00:01
"America/New_York","2015-04-14 08:19:51",1970-01-01 00:00:01
"America/New_York","2016-05-16 01:44:58",1970-01-01 00:00:01
"Asia/Taipei","2016-07-12 06:22:17",1970-01-01 00:00:01
"America/New_York","2014-09-03 03:36:55",1970-01-01 00:00:01
"Asia/Taipei","2016-08-15 07:52:12",1970-01-01 00:00:01
"Asia/Taipei","2016-03-29 04:20:07",1970-01-01 00:00:01
"America/New_York","2015-10-20 11:26:08",1970-01-01 00:00:01
"Asia/Taipei","2014-02-15 05:13:01",1970-01-01 00:00:01
"Asia/Taipei","2015-02-26 03:25:25",1970-01-01 00:00:01
"America/New_York","2016-06-26 02:32:10",1970-01-01 00:00:01
"Asia/Taipei","2017-03-20 03:14:38",1970-01-01 00:00:01
"Asia/Taipei","2017-02-24 09:04:32",1970-01-01 00:00:01
"America/New_York","2017-01-06 04:08:50",1970-01-01 00:00:01
"Asia/Taipei","2014-09-22 05:49:46",1970-01-01 00:00:01
"America/New_York","2015-10-06 10:07:53",1970-01-01 00:00:01
"America/New_York","2014-10-27 04:12:34",1970-01-01 00:00:01
"America/New_York","2014-12-11 01:37:55",1970-01-01 00:00:01
"America/New_York","2015-10-07 12:27:53",1970-01-01 00:00:01
"America/New_York","2016-01-19 03:10:38",1970-01-01 00:00:01
"America/New_York","2014-02-24 12:10:18",1970-01-01 00:00:01
"America/New_York","2014-12-04 09:18:45",1970-01-01 00:00:01
"America/New_York","2016-09-30 09:58:01",1970-01-01 00:00:01
"Asia/Taipei","2017-01-09 05:32:08",1970-01-01 00:00:01
"America/New_York","2015-08-17 01:56:43",1970-01-01 00:00:01
"Asia/Taipei","2016-04-15 07:11:16",1970-01-01 00:00:01
"America/New_York","2017-02-20 11:21:35",1970-01-01 00:00:01
"Asia/Taipei","2016-07-18 04:14:51",1970-01-01 00:00:01
"America/New_York","2013-11-25 08:01:34",1970-01-01 00:00:01
"America/New_York","2014-02-18 06:02:04",1970-01-01 00:00:01
"Asia/Taipei","2014-11-28 08:51:11",1970-01-01 00:00:01
"America/New_York","2017-03-02 11:54:52",1970-01-01 00:00:01
"Asia/Taipei","2015-11-10 06:42:32",1970-01-01 00:00:01
"Asia/Taipei","2015-05-21 07:05:46",1970-01-01 00:00:01
"Asia/Taipei","2016-05-05 10:18:44",1970-01-01 00:00:01
"Asia/Taipei","2014-02-19 04:53:48",1970-01-01 00:00:01
"Asia/Taipei","2015-08-30 05:15:53",1970-01-01 00:00:01
"Asia/Taipei","2016-05-11 02:31:48",1970-01-01 00:00:01
"America/New_York","2015-05-18 09:12:28",1970-01-01 00:00:01
"Asia/Taipei","2015-04-07 09:52:46",1970-01-01 00:00:01
"Asia/Taipei","2015-10-16 09:23:02",1970-01-01 00:00:01
"Asia/Taipei","2014-01-17 08:34:17",1970-01-01 00:00:01
"America/New_York","2016-07-28 05:07:08",1970-01-01 00:00:01
"Asia/Taipei","2016-06-20 01:28:29",1970-01-01 00:00:01
"America/New_York","2017-01-05 03:16:27",1970-01-01 00:00:01
"America/New_York","2017-06-02 05:32:05",1970-01-01 00:00:01
"America/New_York","2015-09-17 01:44:50",1970-01-01 00:00:01
"America/New_York","2016-10-07 07:42:42",1970-01-01 00:00:01
"Asia/Taipei","2014-10-29 07:52:01",1970-01-01 00:00:01
"America/New_York","2014-05-14 04:22:26",1970-01-01 00:00:01
"Asia/Taipei","2016-05-02 02:52:48",1970-01-01 00:00:01
"Asia/Taipei","2013-11-12 03:42:44",1970-01-01 00:00:01
"America/New_York","2014-11-22 07:41:37",1970-01-01 00:00:01
"Asia/Taipei","2015-10-27 05:43:22",1970-01-01 00:00:01
"America/New_York","2014-12-06 07:59:33",1970-01-01 00:00:01
"Asia/Taipei","2015-10-19 02:04:53",1970-01-01 00:00:01
"Asia/Taipei","2016-08-02 02:26:31",1970-01-01 00:00:01
"America/New_York","2016-04-11 06:42:20",1970-01-01 00:00:01
"America/New_York","2017-03-09 02:15:44",1970-01-01 00:00:01
"Asia/Taipei","2016-03-01 07:30:20",1970-01-01 00:00:01
"America/New_York","2015-09-23 05:28:36",1970-01-01 00:00:01
"America/New_York","2014-02-24 11:08:22",1970-01-01 00:00:01
"America/New_York","2015-06-27 03:12:34",1970-01-01 00:00:01
"Asia/Taipei","2017-03-23 01:54:08",1970-01-01 00:00:01
"Asia/Taipei","2017-04-05 09:57:18",1970-01-01 00:00:01
"Asia/Taipei","2017-05-20 07:20:32",1970-01-01 00:00:01
"Asia/Taipei","2013-12-30 08:11:29",1970-01-01 00:00:01
"Asia/Taipei","2015-03-03 10:25:21",1970-01-01 00:00:01
"Asia/Taipei","2015-12-09 10:32:15",1970-01-01 00:00:01
"Asia/Taipei","2017-02-21 02:45:26",1970-01-01 00:00:01
"Asia/Taipei","2014-12-12 03:25:18",1970-01-01 00:00:01
"Asia/Taipei","2014-04-22 05:17:30",1970-01-01 00:00:01
"Asia/Taipei","2017-05-05 06:01:18",1970-01-01 00:00:01
"Asia/Taipei","2016-01-08 11:41:41",1970-01-01 00:00:01
"America/New_York","2015-10-26 06:06:41",1970-01-01 00:00:01
"America/New_York","2014-12-16 09:04:27",1970-01-01 00:00:01
