學號,書籍類別,書籍名稱,讀者借閱冊數,書籍出版日期,書籍出版者,書籍館藏地,書籍上架年月,書籍標題(subject),讀者年級,學院,借閱時間
Dd0978c67fe,社會科學類,他者,51,2012,允晨文化,3F中文圖書區,2012-06-14,文化研究,2,社會科學院,2015-03-09T00:35:31Z
A39b7aac6b4,語言文學類,"隋亂.卷二, 功名誤",8,2009,野人文化,3F中文圖書區,2013-04-19,中國小說,2,法律學院,2014-10-12T07:11:30Z
L3f1ee22f0d,語言文學類,絞架幽默:傅建中教你說高竿美語.1,42,2010,城邦文化商業周刊出版,3F中文圖書區,2011-06-14,英語,3,人文學院,2016-05-25T07:05:07Z
Gf8f7849db8,應用科學類,銀輪巨人 : 挑戰巔峰的捷安特精神,25,2013,天下雜誌,3F中文圖書區,2014-05-30,腳踏車業,2,商學院,2015-04-24T05:31:50Z
M036b296a1e,社會科學類,歷史的先聲:中共半個世紀前對人民的莊嚴承諾,11,2002,博思,3F中文圖書區,2002-10-30,NA,2,人文學院,2015-05-21T07:05:46Z
Ccaa47c9dee,語言文學類,天龍八部,9,1996,遠流,3F中文圖書區,2006-03-28,NA,1,社會科學院,2014-04-24T11:20:00Z
D1cb2c9fac6,語言文學類,多益測驗官方全真試題指南. TOEIC Official Test-Preparation Guide. III,22,2012,忠欣,1F流通櫃檯,2012-07-11,多益測驗,1,社會科學院,2014-05-04T02:52:05Z
B0e759ceacd,社會科學類,犯罪學:犯罪學理論與犯罪防治,31,1998,五南,3F中文圖書區,2000-01-26,犯罪學,4,公共事務學院,2016-09-29T05:46:50Z
Df9d14fccb1,藝術類,"逆轉人生 [電影片] = Intouchables /艾力克多倫達諾(Eric Toledano), 奧利佛那卡契(Olivier Nakache)導演",10,2012,飛行國際視聽送審,1F視聽區,2012-11-06,電影片,2,社會科學院,2014-08-13T07:59:04Z
A75a0c77175,世界史地,"人生啊,沒試過怎麼會知道! : 單程機票+新臺幣1000元旅費219天歐陸冒險之旅",32,2015,尖端,3F中文圖書區,2015-08-05,遊記,4,法律學院,2017-03-01T06:44:43Z
C376576f701,語言文學類,誰殺了她,14,2012,獨步文化,3F中文圖書區,2013-02-05,日本小說,2,社會科學院,2015-02-24T07:58:36Z
Caa326be3cf,應用科學類,"1分鐘, 強化問題解決力！ : 能夠有效解決所有問題的最強思考法",12,2010,商周,3F中文圖書區,2013-06-24,商業心理學,2,社會科學院,2015-01-13T13:08:57Z
Lfe70bf43d8,世界史地,沈從文自傳,79,1987,聯合文學出版,3F中文圖書區,1999-04-26,沈從文傳記,4,人文學院,2017-01-04T01:38:34Z
H6a798a51f3,語言文學類,虐待狂刑警 : 蝴蝶效應殺人事件,30,2013,尖端,3F中文圖書區,2013-12-30,日本文學,2,商學院,2014-08-02T07:49:35Z
Haaf0e7a5a0,藝術類,奇蹟的夏天 [錄影資料] = My football summer : more than just a game,138,2013,逸琦國際,1F視聽區,2013-07-22,紀錄片,1,商學院,2014-04-19T04:32:24Z
K6b9bc7ef02,語言文學類,"波西傑克森.1,神火之賊",13,2009,遠流,3F中文圖書區,2010-02-26,NA,3,人文學院,2015-09-15T06:47:47Z
Kaa31b626dd,語言文學類,鱷魚手記,41,2006,INK印刻文學生活雜誌,3F中文圖書區,2017-09-05,長篇小說,4,人文學院,2017-09-20T04:46:27Z
Cdcb45f9812,語言文學類,絕代雙驕,31,2009,風雲時代出版,3F中文圖書區,2012-08-22,武俠小說,2,社會科學院,2015-07-17T06:05:33Z
F615d8671e7,中國史地,臺灣史,16,2002,五南,3F中文圖書區,2002-12-24,臺灣歷史,2,公共事務學院,2015-06-26T03:50:01Z
I5b269b6fe0,語言文學類,上海工作下海生活 : 一個台灣女生的偏見,19,2012,遠景出版,1F寰宇開卷專區,2013-07-12,散文,1,商學院,2014-02-20T04:46:46Z
G5da835699a,語言文學類,河流,58,2013,INK印刻文學生活雜誌,3F中文圖書區,2014-05-15,散文,3,商學院,2015-09-15T09:32:31Z
Cfe6ff5f306,科學類,Economics,96,2014,Pearson,4F外文圖書區,2013-12-13,Economics.,2,社會科學院,2014-12-25T07:03:23Z
Kaa31b626dd,語言文學類,"武道狂之詩 = Sangre y acero. 卷5, 高手盟約",21,2012,蓋亞文化,3F中文圖書區,2013-12-02,香港文學,1,人文學院,2015-04-16T06:32:43Z
Efccf61b9d5,社會科學類,經濟學 : 總複習,51,2011,考用,3F中文圖書區,2012-04-12,經濟學,2,公共事務學院,2014-12-08T01:46:35Z
Aa914574ffd,中國史地,北京=Peking,25,2004,西遊記文化出版,3F中文圖書區,2007-03-07,北京市描述與遊記,3,法律學院,2015-08-26T07:16:29Z
K82fbf2639a,語言文學類,非學不可的新多益單字,13,2012,不求人文化,3F中文圖書區,2013-02-05,英語,1,人文學院,2013-11-26T01:57:48Z
F4da978fa82,應用科學類,挺身而進,126,2013,天下雜誌,1F職涯博覽專區,2013-11-08,職場成功法,4,公共事務學院,2017-04-19T01:10:35Z
Hadaa22c0e3,社會科學類,看漫畫學經濟學 : 工作、戀愛、結婚、生活就在用的99個經濟小常識,5,2013,上奇時代,1F通識悅讀專區,2013-11-12,經濟學,3,商學院,2016-03-08T11:28:16Z
Ac63c807e83,社會科學類,最新民法圖解,5,1985,新文豐出版,3F中文圖書區,1999-07-21,NA,1,法律學院,2013-11-26T13:07:10Z
K82fbf2639a,語言文學類,中國文學史,45,1984,臺灣學生書局,3F中文圖書區,2012-04-13,NA,2,人文學院,2014-09-15T09:07:39Z
Bc9be758a90,語言文學類,寂寞之歌 = Lonely,15,2006,商周,3F中文圖書區,2012-12-06,長篇小說,1,公共事務學院,2014-05-06T08:39:15Z
C95ed86980c,社會科學類,未來工作在哪裡 : 決定你成為贏家或新貧的關鍵,29,2012,天下遠見,1F職涯博覽專區,2013-12-27,職場,4,社會科學院,2016-12-15T09:38:57Z
B3f266161ea,藝術類,墨西哥的生命之花 : 卡蘿,16,2001,閣林國際,3F中文圖書區,2014-07-25,繪畫作品集,4,公共事務學院,2016-10-07T09:01:52Z
O51b2736b02,NA,手機平板充電組 : HTC/Samsung/Oppo,5,NA,NA,1F流通櫃檯,2017-03-10,NA,4,電機資訊學院,2018-01-06T05:20:03Z
Af67c9efc85,語言文學類,鳳囚凰,76,2014,江蘇文藝出版社,3F中文圖書區,2015-01-23,中國小說,4,法律學院,2016-12-15T12:33:32Z
C4575ce80aa,科學類,潘朵拉的種子 : 人類文明進步的代價,13,2011,天下遠見,3F中文圖書區,2012-09-03,人類生態學,2,社會科學院,2014-10-27T02:37:05Z
Gaa482c6d84,語言文學類,台北爸爸/紐約媽媽,7,2011,時報文化,3F中文圖書區,2012-08-06,NA,4,商學院,2017-05-01T02:26:24Z
Aa914574ffd,語言文學類,文化苦旅,23,1992,爾雅,3F中文圖書區,2002-12-17,NA,1,法律學院,2014-02-17T04:20:03Z
L954e45660f,語言文學類,母性,18,2014,皇冠文化,3F中文圖書區,2014-07-29,NA,2,人文學院,2015-05-13T04:08:15Z
B1ad5b76225,社會科學類,總體經濟學 = Macroeconomics,110,2011,新陸,3F中文圖書區,2015-08-12,總體經濟學,3,公共事務學院,2016-05-04T04:06:26Z
E0202045e93,社會科學類,中華民國憲法=Constitution of the R.O.C.,37,2005,三民,3F中文圖書區,2010-07-16,憲法中國,3,公共事務學院,2015-11-02T04:44:41Z
E1c7b27ac44,世界史地,"西方憑什麼 : 五萬年人類大歷史, 破解中國落後之謎",8,2015,雅言文化,3F中文圖書區,2015-03-16,文明史,4,公共事務學院,2016-12-19T01:27:39Z
D2c8d1f29fa,語言文學類,我們:移動與勞動的生命記事,1,2008,INK印刻文學,3F中文圖書區,2009-10-15,報導文學,1,社會科學院,2013-12-05T10:49:15Z
M793ffc0052,社會科學類,"看漫畫, 學統計",24,2014,遠見天下文化,3F中文圖書區,2015-12-04,統計學,3,人文學院,2016-05-02T02:52:48Z
N7cbc0be6c4,語言文學類,托福文法修辭精解,84,1978,華南圖書出版社,3F中文圖書區,1999-08-10,NA,1,商學院,2014-02-18T02:45:54Z
L78b1d6e511,語言文學類,16號公寓,28,2013,臉譜,3F中文圖書區,2013-12-30,英國文學,3,人文學院,2016-04-08T03:35:38Z
F4da978fa82,語言文學類,NEW TOEIC TEST金色證書 : 閱讀,126,2012,眾文圖書,3F中文圖書區,2013-04-12,多益測驗,4,公共事務學院,2016-12-01T10:44:00Z
A17cab1abc0,語言文學類,塔裡的男人,78,2013,商周,3F中文圖書區,2014-02-17,NA,3,法律學院,2016-06-24T04:06:16Z
Fc6e5df4eb2,語言文學類,告白,16,2009,時報文化,3F中文圖書區,2010-09-08,NA,3,公共事務學院,2015-09-03T03:11:02Z
K0357ab3909,語言文學類,越南漢文燕行文獻集成(越南所藏編),249,2010,復旦大學出版社,3F中文圖書區,2011-06-07,漢詩文,2,人文學院,2014-11-10T07:50:08Z
B7230aef465,世界史地,跟著Running Man玩韓國,57,2013,時報文化,3F中文圖書區,2015-10-23,自助旅行,3,公共事務學院,2016-01-19T03:10:38Z
Meac8309dd6,科學類,用心動腦話科學=Science in life,33,2000,遠流,3F中文圖書區,2003-09-18,科學通俗作品,3,人文學院,2015-09-14T09:08:26Z
Mf45eb01288,中國史地,<<雲夢秦簡>>中思想與制度？摭,9,1992,文津,3F中文圖書區,2007-12-10,中國文化秦(公元前221-207),4,人文學院,2016-11-17T10:16:48Z
B8f73a4d6e9,世界史地,永遠的童話:琦君傳,59,2006,三民,3F中文圖書區,2006-06-29,琦君傳記,1,公共事務學院,2014-03-10T05:19:33Z
E98bf815251,社會科學類,實用統計學,5,2002,科大文化,3F中文圖書區,2002-12-31,統計學,2,公共事務學院,2014-12-17T08:19:59Z
Bc7eeb1ca2d,應用科學類,The mummy returns,3,2002,Pearson Education,4F外文圖書區,2004-02-06,Readers.,4,公共事務學院,2017-05-03T07:45:32Z
A8d3a4c0353,社會科學類,醫療過失舉證責任之比較,9,2008,臺灣大學人文社會高等研究院出版,3F中文圖書區,2009-03-25,醫療過失,3,法律學院,2016-03-09T06:00:36Z
Kc54485f6a7,語言文學類,蕭紅小說:朦朧的期待,74,1997,上海古籍,3F中文圖書區,2005-04-29,中國小說短篇,2,人文學院,2015-05-08T07:36:15Z
Gb22dedc603,應用科學類,"如何移動你的公車? : 輕鬆駕馭生活、工作的寓言, 讓你找回熱忱、增加效率、提高績效、無往不利!",26,2016,三采文化,3F中文圖書區,2016-06-21,組織行為,4,商學院,2016-11-16T08:22:21Z
A71270f3be6,語言文學類,鹿鼎記,97,1996,遠流,3F中文圖書區,2000-08-03,NA,1,法律學院,2014-04-30T03:06:46Z
E187835f640,語言文學類,改變一生的英文聽力課,65,2012,貝塔,3F中文圖書區,2012-07-11,英語,4,公共事務學院,2016-09-19T02:56:07Z
K3491bb3740,社會科學類,國外匯兌業務,31,2003,臺灣金融研訓院,3F中文圖書區,2003-05-20,國外匯兌,1,人文學院,2014-03-10T01:56:02Z
K84b62098f7,藝術類,藍色情挑 [電影片] = Trois couleurs : bleu,24,1993,春暉影業,1F通識悅讀專區,2012-11-29,電影片,4,人文學院,2016-09-30T04:17:45Z
Bca766d94b7,語言文學類,革命前夕的摩托車之旅,82,2005,大塊文化出版,3F中文圖書區,2008-07-09,NA,4,公共事務學院,2017-06-09T07:47:15Z
Bf0b35337c1,哲學類,正義:一場思辨之旅,53,2011,雅言文化,3F中文圖書區,2011-06-23,社會正義,3,公共事務學院,2016-03-11T05:42:52Z
D0e91cb8d9d,社會科學類,虎媽的戰歌,35,2011,天下遠見,3F中文圖書區,2011-07-26,母親,3,社會科學院,2016-03-25T02:28:00Z
K25d5a89c7c,語言文學類,國文 / 公文,83,2015,高點文化公司,3F中文圖書區,2016-07-26,應用文,4,人文學院,2016-10-15T07:14:28Z
I549556b143,語言文學類,Help! for writers : 210 solutions to the problems every writer faces,201,2011,"Little, Brown and Co.",1F寰宇開卷專區,2014-07-16,English language Rhetoric.,2,商學院,2014-10-25T04:46:48Z
I5b269b6fe0,語言文學類,一個人的朝聖,19,2012,馬可孛羅文化,3F中文圖書區,2013-04-26,英國文學,1,商學院,2014-01-07T04:55:59Z
M2cfd224e46,世界史地,法國史,141,1995,三民,3F中文圖書區,1999-03-01,法國歷史,2,人文學院,2015-07-07T05:52:00Z
Ef194dcec40,NA,電子書閱讀器 iPad 2,66,NA,NA,1F流通櫃檯,2012-07-05,NA,2,公共事務學院,2015-03-09T03:36:25Z
B4a1c4155c7,應用科學類,新領導力 : 跨越危機時代的新領導能力,1,2012,商周,3F中文圖書區,2013-05-15,領導者,3,公共事務學院,2015-11-05T10:03:53Z
B7c3a980cf5,語言文學類,雙燕雙飛繞畫樑:愛情婚姻,5,2000,麥田出版,3F中文圖書區,2001-09-03,NA,2,公共事務學院,2014-09-19T07:20:40Z
Aaf98bc1ff9,語言文學類,小兒子 = My little boys,9,2014,INK印刻文學,3F中文圖書區,2014-06-11,散文,3,法律學院,2015-09-15T00:55:06Z
A3dd1f1aea8,語言文學類,白色巨塔,59,2005,商周出版,3F中文圖書區,2005-05-27,NA,4,法律學院,2017-02-09T05:04:23Z
B1ad5b76225,社會科學類,社會科學研究方法,110,2010,新加坡商聖智學習出版,3F中文圖書區,2011-07-26,社會科學,3,公共事務學院,2015-10-01T00:46:22Z
A2f56087e2a,社會科學類,親屬繼承 : 案例式,3,2012,五南,3F中文圖書區,2013-09-09,親屬法,1,法律學院,2014-06-10T07:20:33Z
Ea71063f289,總類,大量閱讀的重要性,29,2010,博雅書屋,1F通識悅讀專區,2011-02-22,閱讀,4,公共事務學院,2017-01-23T07:50:10Z
C70ccd90e03,語言文學類,哈利波特:鳳凰會的密令,14,2003,皇冠,3F中文圖書區,2003-12-22,NA,2,社會科學院,2015-03-26T02:38:18Z
I549556b143,中國史地,Start something that matters,201,2012,Spiegel & Grau,1F寰宇開卷專區,2014-05-23,Marketing Social aspects.,2,商學院,2015-04-23T07:07:47Z
F4da978fa82,藝術類,印象雷諾瓦 [電影片] = Renoir,21,2013,輝洪開發,1F視聽區,2013-11-14,電影片,1,公共事務學院,2014-04-25T10:28:42Z
C70ccd90e03,應用科學類,時裝史 = History of fashion,39,2013,藝術家,3F中文圖書區,2015-12-21,服裝歷史,3,社會科學院,2016-02-03T07:16:11Z
B1ad5b76225,社會科學類,質性研究,110,2004,心理,3F中文圖書區,2005-02-25,社會學研究方法,3,公共事務學院,2015-11-18T04:33:23Z
Haaf0e7a5a0,藝術類,不老騎士 [錄影資料] : 歐兜邁環台日記 = Go grandriders : A film by hua tien-hau,138,2013,天馬行空,1F視聽區,2013-11-26,紀錄片,1,商學院,2014-04-18T04:01:20Z
Cb01b766267,社會科學類,科學說需求 = The science of demand,52,2010,中信出版社,3F中文圖書區,2012-05-16,經濟學,3,社會科學院,2015-12-21T05:11:51Z
Aa914574ffd,社會科學類,稅法總論,25,2005,黃茂榮,3F中文圖書區,2009-03-26,租稅法規論述,3,法律學院,2016-04-27T08:08:35Z
J39e0f055ed,社會科學類,匱乏經濟學 : 為什麼老是在趕deadline?為什麼老是覺得時間和金錢不夠用?,133,2015,遠流,3F中文圖書區,2015-04-27,市場供需,4,商學院,2017-07-01T05:09:35Z
Ie4a3b426be,應用科學類,Cantonese phrasebook & dictionary,241,2013,Lonely Planet,1F寰宇開卷專區,2014-10-02,Cantonese dialects English.,4,商學院,2017-01-07T08:07:44Z
Kcbaaee96de,世界史地,希特勒的最後十日,172,1974,大明王氏出版有限公司,3F中文圖書區,1999-08-05,NA,4,人文學院,2017-02-23T01:50:31Z
Ae757bc0967,語言文學類,英文研究論文寫作 : 段落指引 = Paragraph development in writing English research papers,24,2013,眾文圖書,3F中文圖書區,2013-06-10,英語,4,法律學院,2017-11-02T08:46:34Z
I7cba9f8a27,語言文學類,安娜？卡列尼娜. 上,5,2003,木馬文化,3F中文圖書區,2013-06-24,俄國文學,2,商學院,2015-06-25T04:46:45Z
A98211dd45a,語言文學類,三國演義校注,64,1994,里仁,3F中文圖書區,2002-07-19,三國演義註釋,2,法律學院,2014-12-08T09:32:55Z
F287026b717,總類,低欲望社會,132,2016,遠見天下文化,3F中文圖書區,2017-01-11,言論集,4,公共事務學院,2017-01-17T02:30:24Z
C79297d891e,社會科學類,"統計,改變了世界",49,2001,天下遠見出版,3F中文圖書區,2008-05-21,科學統計方法,4,社會科學院,2016-09-22T08:02:59Z
D71794f329b,語言文學類,傲慢與偏見,2,2005,商周出版,3F中文圖書區,2006-04-25,NA,1,社會科學院,2014-02-18T04:56:02Z
L3f1ee22f0d,社會科學類,社會新鮮人求職秘訣,22,1996,聯經,3F中文圖書區,1999-03-01,就業,1,人文學院,2014-03-05T08:32:27Z
I870979d060,世界史地,最後的演講,10,2012,方智,1F職涯博覽專區,2013-12-27,傳記,3,商學院,2016-03-02T04:05:54Z
M2cfd224e46,中國史地,二二八現場,141,2008,台灣書房出版,3F中文圖書區,2009-01-14,二二八事件,2,人文學院,2015-04-25T04:27:25Z
Hf3171588d5,社會科學類,總體經濟？聖杯:資產負債表衰退啟示錄,38,2009,財信出版,3F中文圖書區,2010-03-17,總體經濟學,4,商學院,2016-09-20T02:33:15Z
J3ef8ab970f,世界史地,我。睡了。81個人的沙發 = The disappeared year,28,2010,遠景出版,1F寰宇開卷專區,2013-06-10,遊記,2,商學院,2015-06-23T03:02:50Z
D0e91cb8d9d,社會科學類,風是我的母親 : 一位印第安薩滿巫醫的傳奇與智慧,32,2014,橡樹林文化,3F中文圖書區,2014-12-10,印第安族,4,社會科學院,2017-04-08T04:24:26Z
Bca766d94b7,哲學類,"依戀障礙 : 為何我們總是無法好好愛人, 好好愛自己?",33,2016,聯合文學,3F中文圖書區,2017-03-20,心理病理學,4,公共事務學院,2017-09-15T10:13:30Z
B46f23fd1ce,應用科學類,"一分鐘視力革命 : 七招提升含氧量,近視、老花眼、乾眼症、飛蚊症、散光、斜視自然好",35,2014,如何,3F中文圖書區,2015-03-10,眼科,3,公共事務學院,2015-12-14T04:05:46Z
K82fbf2639a,藝術類,思考圖解力 : 創意設計的基礎訓練100%,35,2012,旗標,1F通識悅讀專區,2013-12-30,設計,3,人文學院,2016-06-29T05:35:02Z
I549556b143,語言文學類,大學中文寫作,201,2007,清大出版社,3F中文圖書區,2009-01-07,寫作法,2,商學院,2014-10-30T03:49:04Z
B77c7ea4cbc,語言文學類,水問,9,1985,洪範,3F中文圖書區,2002-12-17,NA,3,公共事務學院,2015-11-18T07:08:02Z
Fb43fbf4d79,科學類,花紋樣的生命:自然生態散文集,13,2008,幼獅,3F中文圖書區,2010-12-30,文集,1,公共事務學院,2014-04-11T05:42:33Z
Ef3b0b4ee42,應用科學類,會計學原理與應用 = Accounting principles and applications. 上,4,2011,鄭丁旺,3F中文圖書區,2012-12-18,會計,1,公共事務學院,2014-02-18T02:49:48Z
B7230aef465,語言文學類,聽那鯨魚在唱歌,6,1994,格林文化,3F中文圖書區,2008-03-17,NA,4,公共事務學院,2016-10-07T02:21:49Z
Fa2ecbc8072,社會科學類,生態土地使用規劃=Ecological land use planning,33,2000,詹氏,3F中文圖書區,2000-03-20,土地利用,2,公共事務學院,2015-04-08T02:16:20Z
D36a6102fec,語言文學類,散文 : 九歌散文選. 100年 = Collected essays 2011,23,2012,九歌,3F中文圖書區,2015-09-21,NA,4,社會科學院,2016-12-12T09:01:11Z
B8f73a4d6e9,語言文學類,作文新饗宴,74,2002,萬卷樓出版,3F中文圖書區,2009-02-19,中國語言作文,3,公共事務學院,2016-03-14T10:17:38Z
I24cca9719d,語言文學類,鐵漿,8,2003,INK印刻出版,3F中文圖書區,2005-08-02,NA,4,商學院,2017-03-07T07:23:34Z
B58274372a5,語言文學類,無聲告白,17,2015,悅知文化,3F中文圖書區,2016-01-29,NA,3,公共事務學院,2016-04-28T09:49:09Z
Be3e14b1224,語言文學類,神州奇俠正傳,47,2005,風雲時代,3F中文圖書區,2012-09-27,武俠小說,2,公共事務學院,2014-11-18T09:40:37Z
M2cfd224e46,社會科學類,基礎統計學,141,2000,高立出版,3F中文圖書區,2003-09-19,統計學,2,人文學院,2015-03-06T05:00:56Z
Aadf6690577,社會科學類,現代型訴訟？行政裁量,22,1990,弘文堂,4F日韓文圖書區,2000-09-04,行政法,4,法律學院,2016-10-24T05:15:04Z
A039928f183,語言文學類,我就是忍不住笑了 = I just can't help laughing,32,2012,皇冠文化,3F中文圖書區,2013-04-12,散文,3,法律學院,2016-01-06T12:47:18Z
C79297d891e,社會科學類,我是世界最大黨 : 誰在統治及如何統治中國,49,2014,聯經,3F中文圖書區,2014-10-14,中國共產黨,4,社會科學院,2016-10-03T05:54:47Z
I0804a1a6d0,語言文學類,棄的故事,14,2013,INK印刻文學,3F中文圖書區,2013-04-26,新詩,2,商學院,2015-03-17T05:16:42Z
Kadbf84e112,語言文學類,獵命師傳奇系列 = FateHunter. 卷十一,130,2011,蓋亞文化,3F中文圖書區,2013-06-10,科幻小說,4,人文學院,2016-11-07T09:09:29Z
A01947da7d6,語言文學類,二萬呎高空驚魂,14,2010,繁星多媒體,3F中文圖書區,2010-11-10,NA,1,法律學院,2014-03-10T11:12:37Z
Gc3ebb48e80,語言文學類,魔法麵包店,38,2013,天培文化,3F中文圖書區,2015-01-23,韓國文學,2,商學院,2015-04-09T12:03:26Z
Fe71761be01,社會科學類,Fun遊學,10,2011,貝飛特國際留遊學,1F寰宇開卷專區,2013-07-12,留學,1,公共事務學院,2014-02-25T06:37:23Z
L452fbae8d8,語言文學類,新選組血風錄,25,2010,遠流,3F中文圖書區,2011-10-11,NA,1,人文學院,2014-07-05T05:24:19Z
J49a658d81d,應用科學類,企業管理與法律,8,2014,元照,3F中文圖書區,2015-06-09,企業法規,3,商學院,2016-03-31T01:12:58Z
Af67c9efc85,語言文學類,盜墓筆記=The secret of grave robber,121,2007,普天出版,3F中文圖書區,2009-06-18,NA,3,法律學院,2015-10-21T09:22:27Z
A8ba0917b01,社會科學類,"楊日松傳奇 : 現代包青天, 法醫界的教父",159,2012,秋雨文化,3F中文圖書區,2012-09-27,法醫學,3,法律學院,2015-12-14T06:39:45Z
I6d1aa8cf3a,社會科學類,教育哲學 : 新興議題研究,8,2011,學富文化,3F中文圖書區,2012-07-11,教育哲學,1,商學院,2014-05-15T05:03:21Z
O259db59c7b,總類,C : how to program,62,2013,Pearson,4F外文圖書區,2013-02-19,C (Computer program language),4,電機資訊學院,2016-09-13T08:19:24Z
C70ccd90e03,應用科學類,"ZARA首席顧問教你,跟著全球時裝霸主,把生意做起來",39,2014,原點,3F中文圖書區,2015-01-23,服飾業,3,社會科學院,2015-12-22T06:04:03Z
Meb1ff35189,中國史地,宮中檔光緒朝奏摺,15,1975,國立故宮博物院,3F中文圖書區,2000-09-29,中國史料清德宗(1875-1908),3,人文學院,2015-12-21T09:53:06Z
B7b499271d8,語言文學類,解憂雜貨店,8,2013,皇冠文化,3F中文圖書區,2013-12-30,日本文學,3,公共事務學院,2015-10-14T09:14:15Z
A0c00f0d7b6,語言文學類,罪行,8,2011,先覺出版,1F特展區,2012-05-16,德國文學,2,法律學院,2015-05-25T09:22:47Z
F624b7e725c,總類,一次讀通中國100本經典名著。,76,2012,大翼文化出版,1F通識悅讀專區,2013-08-02,推薦書目,2,公共事務學院,2015-03-10T12:30:52Z
I9162f25a3b,社會科學類,二十一世紀資本論,90,2014,衛城,3F中文圖書區,2014-12-16,資本論,3,商學院,2015-11-16T07:17:06Z
